Model,Dataset,MSE,Center_Error_Pixels_Mean,Center_Error_Pixels_Std,Center_Error_Microns_Mean,Center_Error_Microns_Std,Correlation,AUROC_Mean,AUROC_Std,Average_Precision_Mean,Average_Precision_Std
3D CNN,mixin_test44,0.00810191,102.17139771974217,13.49039446093187,33.205704258916214,4.384378199802859,0.675747619651458,0.9638552769201179,0.03198980619663555,0.999541214034313,0.0004859342014634246
3D CNN,mixin_test57,0.0076580127,120.93937398749806,12.886513328908952,78.61059309187374,8.376233663790819,0.4957014519968994,0.7608505811333937,0.07202034538888812,0.6415446624380284,0.10548059735237147
3D CNN,mixin_test64,0.015568206,131.79145319453812,1.4859861910357428,85.66444457644978,0.9658910241732347,0.6625137695940321,0.8154742286261368,0.021866131385650803,0.34950517628409405,0.018360384899425444
Flow-Based,mixin_test44,0.0070036207,125.39119503057559,31.755438298391457,40.752138384937055,10.320517446977224,0.6447020028271965,0.9503628450278199,0.04045432653610439,0.9994086562559442,0.0005653404867978045
Flow-Based,mixin_test57,0.0077696005,123.60071872518398,8.337630908029917,80.34046717136958,5.419460090219446,0.4819677681242016,0.7617448758222907,0.08078863556608261,0.636372210179391,0.11809307536983679
Flow-Based,mixin_test64,0.01849493,129.69380862813688,1.5215085350161632,84.30097560828897,0.9889805477605081,0.6656539905834438,0.890265675621689,0.02648987443448628,0.4771400563347106,0.03240572839576911
ConvLSTM,mixin_test44,0.01017995,125.96395288034475,33.69023987212816,40.93828468611204,10.949327958441652,0.6382170668085245,0.9499978715667117,0.03300848362137346,0.9994533727733705,0.00042281036051556784
ConvLSTM,mixin_test57,0.007845713,123.18834190553775,9.187953350412242,80.07242223859954,5.972169677767957,0.4668509848473261,0.7528589649266297,0.09129765884065164,0.61457407241887,0.13384997075500274
ConvLSTM,mixin_test64,0.011333074,125.79496675848333,1.2168898203225447,81.76672839301416,0.790978383209655,0.737035090668848,0.974433001065991,0.005788769789859108,0.7661629098992169,0.03063919661156137
